Area Code,City,Province Code,,Ref,Postal,Province,Region,Local,Lat,Long,,Advisor Emails,,Exclude Names,Exclude before @,Exclude domains
204,Manitoba,MB,,T,T0A,AB,Alberta,Eastern Alberta (St. Paul),54.766,-111.717,,ig.ca,,12,1,aim.com
226,London,ON,,T,T0B,AB,Alberta,Wainwright Region (Tofield),53.0727,-111.582,,argosynet.ca,,20,_0,c.com
236,Vancouver,BC,,T,T0C,AB,Alberta,Central Alberta (Stettler),52.1431,-111.694,,eastlink.ca,,24,---,coldmail.com
249,Sudbury,ON,,T,T0E,AB,Alberta,Western Alberta (Jasper),53.6758,-115.095,,tbaytel.net,,44,2016c7,email.com
250,Kelowna,BC,,T,T0G,AB,Alberta,North Central Alberta (Slave Lake),55.6993,-114.453,,holliswealth.com,,45,3brats,endthekilling.ca
289,Hamilton,ON,,T,T0H,AB,Alberta,Northwestern Alberta (High Level),57.5403,-116.915,,raymondjames.ca,,47,aloogoobi3,fakemail.com
306,Saskatchewan,SK,,T,T0J,AB,Alberta,Southeastern Alberta (Drumheller),50.9944,-111.463,,assante.com,,54,assss,fastmail.com
343,Ottawa,ON,,T,T0K,AB,Alberta,International Border Region (Cardston),49.4721,-112.241,,f55f.com,,60,b,fattaanm.com
365,Hamilton,ON,,T,T0L,AB,Alberta,Kananaskis Country (Claresholm),50.6314,-114.409,,igpwm.ca,,Ннн,blal,fmail.com
367,Quebec,QC,,T,T0M,AB,Alberta,Central Foothills (Sundre),51.9552,-114.869,,accesscomm.ca,,...,bob,fr.fa
403,Calgary,AB,,T,T0P,AB,Alberta,Northeastern Alberta (Fort Chipewyan),58.2626,-110.747,,atb.com,,7-Eleven,bullet.72,gamil.com
416,Toronto,ON,,T,T0V,AB,Alberta,Remote Northeast (Fitzgerald),59.9049,-111.672,,freedom55financial.com,,Aaa,c4865,ggg.hh
418,Quebec,QC,,T,T1A,AB,Alberta,Medicine Hat Central,50.0816,-110.579,,manulifesecurities.ca,,Aaaa,classychevy4x4,gmai.com
431,Manitoba,MB,,T,T1B,AB,Alberta,Medicine Hat South,49.835,-110.52,,firstfoundation.ca,,abc,d22314,gmaik.com
437,Toronto,ON,,T,T1C,AB,Alberta,Medicine Hat North,50.0774,-110.691,,protonmail.com,,ABCD,deleteme+d.joseph.kosir\,gmail.ca
438,Montreal,QC,,T,T1G,AB,Alberta,Taber,49.787,-112.146,,rivwealth.com,,ABCSharkTank,digger,gmail.clm
450,Granby,QC,,T,T1H,AB,Alberta,Lethbridge North,49.7,-112.819,,thereframegroup.com,,ads,dmddemprhkkkrepwwg,gmail.com@example.com
506,New Brunswick,NB,,T,T1J,AB,Alberta,Lethbridge West and Central,49.6581,-112.748,,alignedcp.com,,Advisor,do_u_know_me,gmail.con
